date,Content marketing,Digital marketing,AI marketing,SEO optimization,Email marketing,isPartial,Social media strategy,Influencer marketing,Content creation,Copywriting,Brand storytelling,Marketing automation,Google ads,Facebook ads,Audience engagement,Video marketing,Lead generation,CRM marketing,Product marketing
2020-11-22,5,41,1,1,6,False,6,13,6,30,1,2,29,15,0,2,5,2,9
2020-11-29,6,43,1,1,7,False,8,15,7,32,1,2,34,15,0,3,5,2,11
2020-12-06,6,44,1,1,6,False,8,15,7,31,1,2,34,15,0,2,6,2,10
2020-12-13,5,41,1,1,6,False,8,13,7,30,0,2,36,15,0,2,5,2,10
2020-12-20,5,40,1,1,6,False,5,11,6,30,1,2,28,13,0,2,5,1,7
2020-12-27,5,37,2,1,5,False,6,12,5,28,0,2,26,11,0,2,4,1,5
2021-01-03,6,45,2,1,6,False,6,13,7,34,1,2,33,15,0,2,5,1,8
2021-01-10,5,40,2,1,7,False,7,14,6,31,0,2,33,15,0,2,5,2,8
2021-01-17,5,42,2,1,6,False,7,14,6,31,1,2,34,15,0,2,5,2,9
2021-01-24,5,42,2,1,6,False,7,15,6,33,1,2,38,15,0,2,5,2,8
2021-01-31,5,40,2,1,6,False,7,14,6,32,1,2,37,17,0,2,5,2,9
2021-02-07,5,41,2,1,5,False,7,13,6,31,1,2,32,16,0,2,5,2,9
2021-02-14,5,42,3,1,7,False,8,14,7,31,0,2,37,15,0,2,5,2,9
2021-02-21,5,43,3,1,6,False,7,14,6,31,1,2,38,15,0,2,5,2,9
2021-02-28,5,43,3,1,6,False,8,13,6,32,1,2,40,18,0,2,5,2,10
2021-03-07,5,45,3,1,6,False,7,13,6,33,0,2,50,16,0,2,5,2,10
2021-03-14,5,46,3,1,6,False,8,13,6,35,1,2,42,16,0,2,5,2,10
2021-03-21,5,47,4,1,6,False,8,14,7,34,1,2,40,16,0,2,5,2,9
2021-03-28,5,44,5,1,6,False,8,13,6,33,1,2,43,15,0,2,5,1,9
2021-04-04,6,51,5,1,6,False,8,17,7,37,1,2,39,16,0,2,6,2,10
2021-04-11,6,50,5,1,6,False,9,18,7,36,1,2,40,15,0,3,5,2,10
2021-04-18,6,56,6,1,7,False,8,18,7,43,1,2,43,16,0,3,6,2,11
2021-04-25,5,47,7,1,6,False,8,16,7,35,1,2,37,15,0,2,6,2,10
2021-05-02,6,49,8,1,7,False,8,16,7,37,1,2,42,16,0,2,6,2,10
2021-05-09,6,53,8,1,6,False,8,15,7,35,1,2,38,17,0,3,6,2,9
2021-05-16,6,52,8,1,6,False,8,16,7,38,1,2,39,16,0,3,6,2,10
2021-05-23,6,54,9,1,7,False,8,15,7,40,1,2,36,16,0,3,6,2,9
2021-05-30,5,53,10,1,7,False,7,15,6,40,0,2,36,15,0,3,6,2,8
2021-06-06,6,53,9,1,7,False,7,14,7,42,1,2,37,15,0,2,6,2,10
2021-06-13,6,54,10,1,7,False,7,14,8,40,1,2,37,16,0,2,6,2,9
2021-06-20,6,51,11,1,6,False,8,14,8,42,1,2,32,15,0,2,6,2,8
2021-06-27,5,52,14,1,7,False,8,13,6,42,1,2,34,15,0,2,6,2,8
2021-07-04,6,49,13,1,6,False,7,14,7,42,1,2,35,15,0,2,6,2,7
2021-07-11,6,50,18,1,6,False,7,14,7,40,1,2,37,15,0,2,6,2,7
2021-07-18,6,49,7,1,7,False,7,13,7,42,1,2,33,14,0,2,5,1,8
2021-07-25,5,50,4,1,6,False,7,13,7,41,0,2,39,13,0,2,5,1,7
2021-08-01,6,49,4,1,7,False,6,12,7,38,1,2,38,14,0,2,5,1,8
2021-08-08,5,50,4,1,6,False,7,13,7,42,1,2,32,13,0,2,6,2,8
2021-08-15,5,48,7,1,6,False,7,13,8,41,0,2,31,15,0,2,5,2,8
2021-08-22,6,49,6,1,7,False,7,14,8,42,1,2,30,14,0,2,5,2,8
2021-08-29,5,49,7,1,6,False,6,15,8,41,1,2,32,14,0,2,6,2,8
2021-09-05,6,47,7,1,6,False,7,14,8,42,1,2,32,14,0,2,6,2,8
2021-09-12,7,54,6,1,7,False,8,14,8,42,1,2,34,15,0,3,6,2,10
2021-09-19,6,52,7,1,7,False,7,15,8,43,1,2,33,16,0,3,7,2,10
2021-09-26,6,50,8,1,7,False,8,13,9,41,1,2,38,15,0,2,6,2,10
2021-10-03,6,50,9,1,7,False,8,15,8,42,1,2,36,16,0,2,6,2,10
2021-10-10,6,45,9,1,7,False,8,14,7,38,1,2,33,14,0,2,6,2,10
2021-10-17,6,48,10,1,7,False,8,15,9,37,1,2,35,15,0,3,6,2,11
2021-10-24,6,49,11,1,7,False,9,15,9,38,1,2,34,14,0,2,6,2,11
